Nº doc.cálc.,Cta.contrato,Contrato,Porción,PosDoc,CDoc,MA,FinPerCálc,Válido de,Validez a,CtdCálc,Cantidad cálculo,ContPorTmp,kwh
62280442208,600000175082,218183601,RP_01,000001,ZKWHP,,01/08/2021,02/07/2021,14/07/2021,"1,411",0.17090000000000,13.0000,13.17090000000000
62280442208,600000175082,218183601,RP_01,000002,ZKWHP,,01/08/2021,15/07/2021,01/08/2021,"1,953",0.92910000000000,18.0000,18.92910000000000
62280442208,600000175082,218183601,RP_01,000003,ZKWHV,,01/08/2021,02/07/2021,14/07/2021,"1,292",0.95480000000000,13.0000,13.95480000000000
62280442208,600000175082,218183601,RP_01,000004,ZKWHV,,01/08/2021,15/07/2021,01/08/2021,"1,790",0.24520000000000,18.0000,18.24520000000000
62280442208,600000175082,218183601,RP_01,000006,ZKWHR,,01/08/2021,15/07/2021,01/08/2021,"4,776",0.32910000000000,18.0000,18.32910000000000
62280442208,600000175082,218183601,RP_01,000007,ZKW,,01/08/2021,02/07/2021,01/08/2021,24,0.49000000000000,31.0000,31.49000000000000
62280442208,600000175082,218183601,RP_01,000008,ZFP,,01/08/2021,02/07/2021,01/08/2021,0,0.90000000000000,31.0000,31.90000000000000
56180660065,600000175082,218183601,RP_01,000004,ZKW,,01/07/2021,02/06/2021,01/07/2021,24,0.58000000000000,30.0000,30.58000000000000
56180660065,600000175082,218183601,RP_01,000001,ZKWHP,,01/07/2021,02/06/2021,01/07/2021,"3,375",0.10000000000000,30.0000,30.10000000000000
56180660065,600000175082,218183601,RP_01,000002,ZKWHV,,01/07/2021,02/06/2021,01/07/2021,"3,096",0.00000000000000,30.0000,30.00000000000000
56180660065,600000175082,218183601,RP_01,000003,ZKWHR,,01/07/2021,02/06/2021,01/07/2021,"7,271",0.20000000000000,30.0000,30.20000000000000
56180660065,600000175082,218183601,RP_01,000005,ZFP,,01/07/2021,02/06/2021,01/07/2021,0,0.90000000000000,30.0000,30.90000000000000
50000081650,600000175082,218183601,RP_01,000001,ZKWHP,,02/01/2022,03/12/2021,02/01/2022,0,0.00000000000000,31.0000,31.00000000000000
50000081650,600000175082,218183601,RP_01,000002,ZKWHV,,02/01/2022,03/12/2021,02/01/2022,0,0.00000000000000,31.0000,31.00000000000000
50000081650,600000175082,218183601,RP_01,000003,ZKWHR,,02/01/2022,03/12/2021,02/01/2022,0,0.00000000000000,31.0000,31.00000000000000
50000081650,600000175082,218183601,RP_01,000004,ZKW,,02/01/2022,03/12/2021,02/01/2022,0,0.00000000000000,31.0000,31.00000000000000
50000081650,600000175082,218183601,RP_01,000005,ZFP,,02/01/2022,03/12/2021,02/01/2022,0,0.93000000000000,31.0000,31.93000000000000
55760789159,600000175082,218183601,RP_01,000004,ZKW,,01/09/2021,02/08/2021,01/09/2021,24,0.60900000000000,31.0000,31.60900000000000
55760789159,600000175082,218183601,RP_01,000001,ZKWHP,,01/09/2021,02/08/2021,01/09/2021,"3,464",0.60000000000000,31.0000,31.60000000000000
55760789159,600000175082,218183601,RP_01,000002,ZKWHV,,01/09/2021,02/08/2021,01/09/2021,"3,170",0.30000000000000,31.0000,31.30000000000000
55760789159,600000175082,218183601,RP_01,000003,ZKWHR,,01/09/2021,02/08/2021,01/09/2021,"7,454",0.90000000000000,31.0000,31.90000000000000
55760789159,600000175082,218183601,RP_01,000005,ZFP,,01/09/2021,02/08/2021,01/09/2021,0,0.93200000000000,31.0000,31.93200000000000
57740475293,600000175082,218183601,RP_01,000006,ZKWHR,,01/11/2021,15/10/2021,01/11/2021,"4,328",0.64000000000000,18.0000,18.64000000000000
57740475293,600000175082,218183601,RP_01,000001,ZKWHP,,01/11/2021,03/10/2021,14/10/2021,"1,341",0.16000000000000,12.0000,12.16000000000000
57740475293,600000175082,218183601,RP_01,000002,ZKWHP,,01/11/2021,15/10/2021,01/11/2021,"2,011",0.74000000000000,18.0000,18.74000000000000
57740475293,600000175082,218183601,RP_01,000003,ZKWHV,,01/11/2021,03/10/2021,14/10/2021,"1,227",0.24000000000000,12.0000,12.24000000000000
57740475293,600000175082,218183601,RP_01,000004,ZKWHV,,01/11/2021,15/10/2021,01/11/2021,"1,840",0.86000000000000,18.0000,18.86000000000000
57740475293,600000175082,218183601,RP_01,000005,ZKWHR,,01/11/2021,03/10/2021,14/10/2021,"2,885",0.76000000000000,12.0000,12.76000000000000
57740475293,600000175082,218183601,RP_01,000007,ZKW,,01/11/2021,03/10/2021,01/11/2021,24,0.46100000000000,30.0000,30.46100000000000
57740475293,600000175082,218183601,RP_01,000008,ZFP,,01/11/2021,03/10/2021,01/11/2021,0,0.90000000000000,30.0000,30.90000000000000
60200221060,600000175082,218183601,RP_01,000004,ZKW,,02/12/2021,02/11/2021,02/12/2021,24,0.60900000000000,31.0000,31.60900000000000
60200221060,600000175082,218183601,RP_01,000001,ZKWHP,,02/12/2021,02/11/2021,02/12/2021,"3,380",0.30000000000000,31.0000,31.30000000000000
